Site,Site Code,Site Num,State,Date,Time,Mussel #,Shell Length,Height,Girth,Shell wt,SA,Shell thk,notes,A vs. P,Max thk 1/3,Min thk 1/3,Ave thk 1/3
Soberanes Point,SBR,1,CA,2019,2019,1,95.81,39.85,15.47,17.5691,3234.22728,5.43224037,,A,1.98,1.193,1.5865
Soberanes Point,SBR,1,CA,2019,2019,2,75.19,29.6,15.62,12.2069,1988.8058,6.1378039,,A,2.528,1.451,1.9895
Soberanes Point,SBR,1,CA,2019,2019,3,80.16,30.68,13.31,9.9168,2102.84826,4.71588949,,A,2.08,1.397,1.7385
Soberanes Point,SBR,1,CA,2019,2019,4,105.86,41.52,16.96,25.3633,3817.70451,6.64359956,,A,2.091,1.019,1.555
Soberanes Point,SBR,1,CA,2019,2019,5,67.96,25.93,11.27,6.6808,1544.99027,4.32416963,,A,1.92,0.699,1.3095
Soberanes Point,SBR,1,CA,2019,2019,6,79.49,32.04,14.38,10.8084,2200.95359,4.91078051,,A,2.134,1.077,1.6055
Soberanes Point,SBR,1,CA,2019,2019,7,88.03,34.16,16.84,16.1507,2667.34839,6.05496457,,A,2.497,1.489,1.993
Soberanes Point,SBR,1,CA,2019,2019,8,91.51,33.95,16.12,17.148,2713.70094,6.3190456,,A,2.931,1.454,2.1925
Soberanes Point,SBR,1,CA,2019,2019,9,105.48,38.54,18.18,18.3357,3508.46363,5.2261337,,A,3.325,1.56,2.4425
Soberanes Point,SBR,1,CA,2019,2019,10,63.74,25.45,11.23,5.4919,1398.38641,3.9273122,,A,1.947,0.847,1.397
Soberanes Point,SBR,1,CA,2019,2019,11,98.44,40.42,19.34,24.7117,3468.16207,7.12530138,,A,3.415,1.586,2.5005
Soberanes Point,SBR,1,CA,2019,2019,12,79.51,33.73,16.18,13.7982,2630.36387,5.24573811,,A,2.761,0.913,1.837
Soberanes Point,SBR,1,CA,2019,2019,13,81.93,33.17,14.1,10.9164,5343.3864,2.0429741,,A,2.515,0.902,1.7085
Soberanes Point,SBR,1,CA,2019,2019,14,76.07,29.72,14.08,9.5803,2001.39621,4.78680831,,A,2.041,0.969,1.505
Soberanes Point,SBR,1,CA,2019,2019,15,75.11,30.93,12.68,7.631,1987.96386,3.83860097,,A,1.76,1.125,1.4425
Soberanes Point,SBR,1,CA,2019,2019,16,89.19,35.95,15.28,16.0631,2730.39726,5.88306332,,A,2.645,1.497,2.071
Soberanes Point,SBR,1,CA,2019,2019,17,87.27,31.02,15.72,14.1548,2378.36648,5.95147977,,A,2.104,0.909,1.5065
Soberanes Point,SBR,1,CA,2019,2019,18,108.35,39.92,17.46,27.8679,3717.05556,7.4973052,,A,2.672,1.464,2.068
Soberanes Point,SBR,1,CA,2019,2019,19,72.33,36.34,13.6,11.5242,2205.7474,5.22462364,,A,2.297,1.108,1.7025
Soberanes Point,SBR,1,CA,2019,2019,20,62.51,28.71,11.47,5.339,1515.08481,3.52389514,,A,1.471,0.9,1.1855
Soberanes Point,SBR,1,CA,2019,2019,21,51.89,25.18,9.3,4.1488,1094.25237,3.79144712,,A,1.786,1.154,1.47
Soberanes Point,SBR,1,CA,2019,2019,22,85.86,35.53,14.76,15.9897,2609.95492,6.12642766,,A,3.773,1.175,2.474
Soberanes Point,SBR,1,CA,2019,2019,23,57.41,26.38,9.41,3.9733,1270.84489,3.12650271,,A,1.459,1.029,1.244
Soberanes Point,SBR,1,CA,2019,2019,24,80.47,30.9,15.74,16.4834,2214.77016,7.44248786,,A,3.653,1.361,2.507
Soberanes Point,SBR,1,CA,2019,2019,25,87.44,35.19,16.47,15.1077,2706.51432,5.58197674,,A,2.353,1.494,1.9235
Soberanes Point,SBR,1,CA,2019,2019,26,78.01,32.94,14.94,13.2119,2234.56083,5.91252644,,A,3.119,1.412,2.2655
Soberanes Point,SBR,1,CA,2019,2019,27,103.24,36.75,16.13,23.3925,3378.93266,6.92304415,,A,2.735,1.592,2.1635
Soberanes Point,SBR,1,CA,2019,2019,28,85.82,34.55,13.72,15.3503,2494.74269,6.1530594,,A,2.341,0.945,1.643
Soberanes Point,SBR,1,CA,2019,2019,29,125.42,47.92,21.03,39.4928,5217.41468,7.56941942,,A,4.092,1.624,2.858
Soberanes Point,SBR,1,CA,2019,2019,30,65.69,26.87,11.2,5.3641,1529.4782,3.50714381,,A,1.476,0.611,1.0435
Soberanes Point,SBR,1,CA,2019,2019,31,78.76,31.82,12.78,10.0905,2113.75585,4.77373014,,A,1.934,0.968,1.451
Soberanes Point,SBR,1,CA,2019,2019,32,64.18,29.67,9.54,4.8734,1587.35395,3.07014072,,A,1.352,0.69,1.021
Soberanes Point,SBR,1,CA,2019,2019,33,72.11,30.18,11.3,8.1998,1828.51666,4.48439995,,A,1.788,1.063,1.4255
Soberanes Point,SBR,1,CA,2019,2019,34,90.65,36.83,17.99,18.7412,2947.43094,6.35848655,,A,2.589,1.406,1.9975
Soberanes Point,SBR,1,CA,2019,2019,35,71.93,29.62,11.86,7.1138,1810.23091,3.92977489,,A,1.512,0.917,1.2145
Soberanes Point,SBR,1,CA,2019,2019,36,79.88,27.02,12.58,10.2433,1855.31611,5.52105376,,A,1.764,0.951,1.3575
Soberanes Point,SBR,1,CA,2019,2019,37,58.02,23.18,8,4.8071,1135.8914,4.23200668,,A,1.755,1.02,1.3875
Soberanes Point,SBR,1,CA,2019,2019,38,61.09,26.24,9.69,4.4294,1345.39199,3.2922747,,A,1.478,0.855,1.1665
Soberanes Point,SBR,1,CA,2019,2019,39,72.59,29.45,13.62,9.9652,1854.14297,5.37455858,,A,2.393,1.281,1.837
Soberanes Point,SBR,1,CA,2019,2019,40,56.31,24.48,8.47,3.9228,1166.19715,3.36375371,,A,1.875,0.929,1.402
Soberanes Point,SBR,1,CA,2019,2019,41,67.31,26.23,12.46,6.535,1543.58931,4.23363907,,A,1.537,0.836,1.1865
Soberanes Point,SBR,1,CA,2019,2019,42,85.92,31.36,13.66,11.0765,2313.56395,4.78763511,,A,1.662,0.931,1.2965
Soberanes Point,SBR,1,CA,2019,2019,43,49.73,21.87,8.34,3.365,932.754917,3.60759288,,A,1.854,1.024,1.439
Soberanes Point,SBR,1,CA,2019,2019,44,61.23,25.4,9.62,4.5613,1303.94833,3.49806807,,A,1.616,1.072,1.344
Soberanes Point,SBR,1,CA,2019,2019,45,51.34,21.75,8.35,3.5946,951.359541,3.77838225,,A,2.073,1.077,1.575
Soberanes Point,SBR,1,CA,2019,2019,46,65.5,24.49,11.31,5.9369,1398.47165,4.24527735,,A,2.014,0.665,1.3395
Soberanes Point,SBR,1,CA,2019,2019,47,55.8,26.51,9.87,5.3622,1250.67232,4.28745397,,A,1.824,1.065,1.4445
Soberanes Point,SBR,1,CA,2019,2019,48,49.28,21.04,8.6,3.5324,878.661191,4.02020715,,A,1.763,1.056,1.4095
Soberanes Point,SBR,1,CA,2019,2019,49,55.7,24.77,9.15,3.6802,1150.86093,3.19777994,,A,1.371,0.841,1.106
Soberanes Point,SBR,1,CA,2019,2019,50,51.76,22.6,7.88,2.7405,972.341013,2.81845563,,A,1.277,0.702,0.9895
Soberanes Point,SBR,1,CA,2019,2019,51,83.24,33.66,14.3,13.7422,2398.05988,5.73054915,,A,2.625,1.36,1.9925
Soberanes Point,SBR,1,CA,2019,2019,52,78.51,34.92,13.9,14.7365,2348.27583,6.27545529,,A,2.324,1.41,1.867
Soberanes Point,SBR,1,CA,2019,2019,53,68.02,27.34,9.93,5.8306,1563.00531,3.7303776,,A,1.741,0.954,1.3475
Soberanes Point,SBR,1,CA,2019,2019,54,98.07,37.8,15.82,18.7573,3135.98592,5.98130874,,A,2.1,1.02,1.56
Soberanes Point,SBR,1,CA,2019,2019,55,86.57,36.04,16.81,13.3857,2730.83084,4.90169504,,A,2.006,0.848,1.427
