,STR,SLR,SH,ARA,BMR,CBL,FC,FR,HZD,SBR,PSG,KH,STC,PL,VD,OCT,PB,PGP,PSN
STR,0,1397.31,1368.43,1258.49,598.1,1203.36,1436.87,627.85,85.07,264.27,1063.61,780.42,838.93,273.26,739.36,19.11,150.6,406.67,158.54
SLR,1397.31,0,28.88,138.82,799.21,193.95,39.56,769.46,1312.24,1133.04,333.7,616.89,558.38,1124.05,657.95,1378.2,1246.71,990.64,1238.77
SH,1368.43,28.88,0,109.94,770.33,165.07,68.44,740.58,1283.36,1104.16,304.82,588.01,529.5,1095.17,629.07,1349.32,1217.83,961.76,1209.89
ARA,1258.49,138.82,109.94,0,660.39,55.13,178.38,630.64,1173.42,994.22,194.88,478.07,419.56,985.23,519.13,1239.38,1107.89,851.82,1099.95
BMR,598.1,799.21,770.33,660.39,0,605.26,838.77,29.75,513.03,333.83,465.51,182.32,240.83,324.84,141.26,578.99,447.5,191.43,439.56
CBL,1203.36,193.95,165.07,55.13,605.26,0,233.51,575.51,1118.29,939.09,139.75,422.94,364.43,930.1,464,1184.25,1052.76,796.69,1044.82
FC,1436.87,39.56,68.44,178.38,838.77,233.51,0,809.02,1351.8,1172.6,373.26,656.45,597.94,1163.61,697.51,1417.76,1286.27,1030.2,1278.33
FR,627.85,769.46,740.58,630.64,29.75,575.51,809.02,0,542.78,363.58,435.76,152.57,211.08,354.59,111.51,608.74,477.25,221.18,469.31
HZD,85.07,1312.24,1283.36,1173.42,513.03,1118.29,1351.8,542.78,0,179.2,978.54,695.35,753.86,188.19,654.29,65.96,65.53,321.6,73.47
SBR,264.27,1133.04,1104.16,994.22,333.83,939.09,1172.6,363.58,179.2,0,799.34,516.15,574.66,8.99,475.09,245.16,113.67,142.4,105.73
PSG,1063.61,333.7,304.82,194.88,465.51,139.75,373.26,435.76,978.54,799.34,0,283.19,224.68,790.35,324.25,1044.5,913.01,656.94,905.07
KH,780.42,616.89,588.01,478.07,182.32,422.94,656.45,152.57,695.35,516.15,283.19,0,58.51,507.16,41.06,761.31,629.82,373.75,621.88
STC,838.93,558.38,529.5,419.56,240.83,364.43,597.94,211.08,753.86,574.66,224.68,58.51,0,565.67,99.57,819.82,688.33,432.26,680.39
PL,273.26,1124.05,1095.17,985.23,324.84,930.1,1163.61,354.59,188.19,8.99,790.35,507.16,565.67,0,466.1,254.15,122.66,133.41,114.72
VD,739.36,657.95,629.07,519.13,141.26,464,697.51,111.51,654.29,475.09,324.25,41.06,99.57,466.1,0,720.25,588.76,332.69,580.82
OCT,19.11,1378.2,1349.32,1239.38,578.99,1184.25,1417.76,608.74,65.96,245.16,1044.5,761.31,819.82,254.15,720.25,0,131.49,387.56,139.43
PB,150.6,1246.71,1217.83,1107.89,447.5,1052.76,1286.27,477.25,65.53,113.67,913.01,629.82,688.33,122.66,588.76,131.49,0,256.07,7.94
PGP,406.67,990.64,961.76,851.82,191.43,796.69,1030.2,221.18,321.6,142.4,656.94,373.75,432.26,133.41,332.69,387.56,256.07,0,248.13
PSN,158.54,1238.77,1209.89,1099.95,439.56,1044.82,1278.33,469.31,73.47,105.73,905.07,621.88,680.39,114.72,580.82,139.43,7.94,248.13,0
