Site,Site_full,Lat,Long
STR,Stairs,34.7302,-120.61569
SLR,Seal Rock,44.5054,-124.084799
SH,Strawberry Hill,44.2500,-124.114767
ARA,Cape Arago,43.3040,-124.401546
BMR,Bodega Marine Reserve,38.3190,-123.074
CBL,Cape Blanco,42.8410,-124.564709
FC,Fogarty Creek,44.8378,-124.0593
FR,Fort Ross,38.5120,-123.25506
HZD,Hazards,35.2899,-120.88384
SBR,Soberanes Point,36.4475,-121.928989
PSG,Point Saint George,41.7712,-124.252929
KH,Kibesillah Hill,39.6046,-123.78945
STC,Shelter Cove,40.0301,-124.080911
PL,Point Lobos,36.5194,-121.95367
VD,Van Damme,39.2809,-123.803572
OCT,Occulto,34.8812,-120.63994
PB,Piedras Blancas,35.6655,-121.286767
PGP,Pigeon Point,37.1851,-122.397576
PSN,Point Sierra Nevada,35.7289,-121.31867
